C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00000.wav:['Morphine - Potion', 'Back To Mine (CD Series)', 'Tricky', 2003]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00088.wav:['The Stroke', 'Billy Squier', 'Don`t Say No', 1981]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00089.wav:['Against The Wind', 'Bob Seger', 'Against The Wind (With The Silver Bullet Band)', 1980]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00090.wav:['The Tokens - The Lion Sleeps Tonight', 'Time Life Music (CD Series)', 'Doo - Wop Glory Days Of Rock` N` Roll', 2007]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00091.wav:['She Bangs The Drums', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00092.wav:['Elephant Stone', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00093.wav:['Waterfall', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00094.wav:['Don`t Stop', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00095.wav:['Bye Bye Badman', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00096.wav:['(Song For My) Sugar Spun Sister', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00097.wav:['Made Of Stone', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00098.wav:['Shoot You Down', 'The Stone Roses', 'The Stone Roses', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\rock\rock.00099.wav:['This Is The One', 'The Stone Roses', 'The Stone Roses', 1989]
